column_id,column_description
HRS2014Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 18747 000003-959738. Household Identification Number
HRS2014Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 10202 010. Person Identifier 714 011. Person Identifier 34 012. Person Identifier 6106 020. Person Identifier 208 021. Person Identifier 16 022. Person Identifier 1 023. Person Identifier 511 030. Person Identifier 45 031. Person Identifier 7 032. Person Identifier 2 033. Person Identifier 836 040. Person Identifier 57 041. Person Identifier 7 042. Person Identifier 1 043. Person Identifier
HRS2014Q3,2014 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17037 0. Original sample household - no split from divorce or separation of spouses or partners 850 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 669 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 64 5. Split household - one half of couple from Q3 1 or 2 8 6. Split household - one half of couple from Q3 1 or 2 118 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2014Q4,2012 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17309 0. Original sample household - no split from divorce or separation of spouses or partners 707 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 578 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 57 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 88 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2014Q5,2014 SPOUSE/PARTNER PERSON NUMBER ... 5159 010. Person Identifier 525 011. Person Identifier 24 012. Person Identifier 4656 020. Person Identifier 174 021. Person Identifier 11 022. Person Identifier 1 023. Person Identifier 323 030. Person Identifier 27 031. Person Identifier 4 032. Person Identifier 2 033. Person Identifier 558 040. Person Identifier 40 041. Person Identifier 4 042. Person Identifier 1 043. Person Identifier 31 811. Spouse of Non-Original Respondent 2 812. Spouse of Non-Original Respondent 2 820. Spouse of Non-Original Respondent 9 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 3 831. Spouse of Non-Original Respondent 1 832. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 1 842. Spouse of Non-Original Respondent 7184 Blank. Single Respondent Household
HRS2014Q6,2014 WHETHER COVERSHEET RESPONDENT ... 13238 1. Yes 32 3. 2nd Coverscreen R\, answers not retained 5477 5. No
HRS2014Q7,2014 WHETHER FAMILY RESPONDENT ... 13073 1. Family R 23 3. 2nd Family R\, answers not retained 5651 5. Non-Family R
HRS2014Q8,2014 WHETHER FINANCIAL RESPONDENT ... 13098 1. Financial R 24 3. 2nd Financial R\, answers not retained 5625 5. Non-Financial R
HRS2014Q9,Ref: SecJ.Q9_3Wave * ... 18747 2. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2014Q10,Ref: SecJ.Q10_4Wave * ... 18747 3. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2014Q21,Ref: SecJ.WORKSTATUS.Q21_ In what month and year did you become disabled? IWER: Month entered must be before or in [Current Month][Current Year] Month: Year: ... 66 1. JAN 44 2. FEB 53 3. MAR 57 4. APR 67 5. MAY 68 6. JUN 44 7. JUL 48 8. AUG 41 9. SEP 52 10. OCT 56 11. NOV 47 12. DEC 229 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17875 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q22,Ref: SecJ.WORKSTATUS.Q22_ (In what month and year did you become disabled?) IWER: Month entered must be before or in [Current Month][Current Year] Month: [DISABLED-MO] Year: ... 769 1950-2014. Actual Value 102 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 17876 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q23,Ref: SecJ.WORKSTATUS.Q23_ In what month and year did you retire? Month: Year: ... 117 1. JAN 69 2. FEB 83 3. MAR 82 4. APR 113 5. MAY 157 6. JUN 86 7. JUL 77 8. AUG 86 9. SEP 64 10. OCT 79 11. NOV 114 12. DEC 157 98. DK (Don't Know); NA (Not Ascertained) 2 99. RF (Refused) 17461 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q24,Ref: SecJ.WORKSTATUS.Q24_YrRetired (In what month and year did you retire?) Month: [RETIRED-MO] Year: ... 1201 1941-2014. Actual Value 81 9998. DK (Don't Know); NA (Not Ascertained) 4 9999. RF (Refused) 17461 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q25,Ref: SecJ.WORKSTATUS.Q25_WorkforPay Are you doing any work for pay at the present time? ... 6883 1. YES 11825 5. NO 3 8. DK (Don't Know); NA (Not Ascertained) 7 9. RF (Refused) 29 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q26,Ref: SecJ.WORKSTATUS.Q26_NotWrk * ... 8775 1. Not working currently or in past 2 waves 9972 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q27,Ref: SecJ.WORKSTATUS.Q27_EmpSelfOth [On the job you plan to go back to\,/On your current (main) job\,] do you work for someone else\, are you self-employed\, or what? IWER: If R says\, 'I run my own business' choose 'self-employed' ... 5396 1. SOMEONE ELSE 1472 2. SELF-EMPLOYED 15 8. DK (Don't Know); NA (Not Ascertained) 1 9. RF (Refused) 11863 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q28,Ref: SecJ.WORKSTATUS.Q28_ According to our records\, in [Prev Wave IW Month][Prev Wave IW Year] you were self-employed. Do you have the same business that you had in [Prev Wave IW Month][Prev Wave IW Year] or is it a different business? ... 1109 1. SAME BUSINESS 23 5. DIFFERENT BUSINESS 6. DENIES WORKING FOR SELF IN PREVIOUS WAVE 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 17614 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q29,Ref: SecJ.WORKSTATUS.Q29_ * ... 4780 1. WORK SOMEONE ELSE AND EMPLOYED PREV WAVE 1204 2. NOT WORK SOME ELSE AND EMPLOYED PREV WAVE 388 3. NOT CURRENTLY SELF EMP AND SELF EMP PREV WAVE 12366 4. ALL OTHERS 9 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q30,Ref: SecJ.WORKSTATUS.Q30Q31BP * ... 4780 3. WORKING FOR SOMEONE ELSE THIS WAVE AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 1204 4. (NOT WORKING FOR PAY OR NOT WORKING FOR SOMEONE ELSE) AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 388 5. SELF EMPLOYED LAST WAVE AND NOT SELF EMPLOYED THIS WAVE 12343 6. ALL OTHERS 23 7. WORKING FOR SOMEONE ELSE LAST WAVE\, BUT SOMEONE DIFFERENT THIS WAVE 9 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q31,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q31_MoStopWrkSelf IF SELF EMPLOYED AT DIFFERENT BUSINESS (Q28=5): In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? IWER: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: Year: ... 48 1. JAN 21 2. FEB 21 3. MAR 19 4. APR 19 5. MAY 21 6. JUN 25 7. JUL 22 8. AUG 24 9. SEP 22 10. OCT 20 11. NOV 44 12. DEC 94. STILL WORKING FOR SELF (AS PRIMARY JOB) 32 96. STILL WORKING FOR SELF AS SECOND JOB 45 97. DENIES BEING SELF-EMPLOYED AT PREVIOUS IW 26 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 18337 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q32,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q32_YrStopWrkSelf IF SELF EMPLOYED AT DIFFERENT BUSINESS (Q28=5): In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: (According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed.) In what month and year did you stop working for yourself? IWER: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: [STOPPED WORKING FOR SLF-MO] Year: ... 313 1996-2014. Actual Value 17 9998. DK (Don't Know); NA (Not Ascertained) 80 9999. RF (Refused) 18337 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q33,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q33Q31TOW158_2BP * ... 366 0. ALL OTHERS 45 1. R DENIES WORKING FOR SELF PREV WAVE 18336 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q34,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q34_ Were there any months since [[Current Month][Year -- two years ago]/[Month][Previous Wave IW Year]] when you were not working for pay? ... 5 1. YES 26 5. NO 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18715 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q35,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q35Q34TOW158_2BP * ... 5 0. ALL OTHERS 27 1. R DID NOT REPORT ANY MONTHS NOT WORKING FOR PAY AT Q34 18715 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q36,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W776_Year * ... 5 2013. Actual Value 18742 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q37,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W777_ Were there any months in [Eligible Year] [when you were not working for pay]? ... 3 1. YES 2 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18742 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q38,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 1 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 1 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18744 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q39,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[2] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 1 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q40,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[3] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 1 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q41,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[4] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 1 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q42,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[5] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 1 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q43,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[6] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 1 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q44,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[7] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18747 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q45,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W776_Year * ... 4 2012. Actual Value 18743 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q46,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W777_ Were there any months in [Eligible Year] [when you were not working for pay]? ... 1 1. YES 3 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18743 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q47,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 1 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q48,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths[2] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18747 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q49,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q49Q50BP_TOW158_2BP * ... 27 0. BRANCH POINT FOR Q35 IS 1 5 1. BRANCH POINT FOR Q35 IS 0 18715 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q50,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q50_ Were you paid a regular salary or wages? ... 140 1. YES 190 5. NO 3 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18414 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q51,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q51_ How much were you paid before taxes and other deductions? IWER: Do not probe DK/RF IWER: If amount per hour\, enter both dollars and cents Amount: Per: ... 109 0-300000. Actual Value 22 999998. DK (Don't Know); NA (Not Ascertained) 9 999999. RF (Refused) 18607 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q52,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q52_ (How much were you paid before taxes and other deductions?) IWER: PROBE if necessary: Was that per hour\, week\, month\, or year? Amount: [AMOUNT OF SALARY] Per: ... 21 1. HOUR 26 2. WEEK 11 3. EVERY TWO WEEKS/BI-WEEKLY 19 4. MONTH 5. TWICE A MONTH 29 6. YEAR 1 11. Day 1 97. OTHER (SPECIFY); including per visit\, class\, mile\, job\, piece 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18639 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q53,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q53_ Did it amount to a total of less than $____ per month\, more than $____ per month\, or what? PROCEDURES: UNFM_2Up1Down\, UNFM_1Up2Down BREAKPOINTS: $625\, $1500\, $3000\, $6500 RANDOM ENTRY POINT ASSIGNMENT [1 ($1500)] or [NOT 1 ($300)] AT X510 ... 16 0. Value of Breakpoint 7 626. Value of Breakpoint 2 1500. Value of Breakpoint 4 1501. Value of Breakpoint 1 3001. Value of Breakpoint 1 6501. Value of Breakpoint 18716 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q54,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q54_ * ... 7 624. Value of Breakpoint 8 1499. Value of Breakpoint 2 1500. Value of Breakpoint 4 2999. Value of Breakpoint 1 6499. Value of Breakpoint 9 99999996. Greater than Maximum Breakpoint 18716 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q55,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q55_ * ... 3 98. DK (Don't Know); NA (Not Ascertained) 7 99. RF (Refused) 18737 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q56,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q56_ Did you receive some or all of the net earnings or profits? Def: (Net earning or profit is total business incomes less total business expenses.) ... 237 1. YES 84 5. NO 7 8. DK (Don't Know); NA (Not Ascertained) 5 9. RF (Refused) 18414 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q57,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q57Q56TOQ131 * ... 283 0. ALL OTHERS 50 1. R DID NOT REPORT RECEIVING EARNINGS OR NET PROFITS AT Q56 18414 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q58,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q58_ [What did you earn the last year you worked?/(In addition to your regular salary\,) How much did you receive from net earnings or profits? IWER: If R has trouble giving dollar figure\, ask: What did you earn the last year you worked?] Def: (Net earning or profit is total business incomes less total business expenses.) IWER: Do not probe DK/RF IWER: If amount per hour\, enter both dollars and cents Amount: Per: ... 199 0-200000. Actual Value 60 999998. DK (Don't Know); NA (Not Ascertained) 23 999999. RF (Refused) 18465 Blank. INAP (Inapplicable); Partial Interview
