column_id,column_description
HRS2018Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 17146 010003-959738. Household Identification Number
HRS2018Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 9738 010. Person Identifier 654 011. Person Identifier 32 012. Person Identifier 1 013. Person Identifier 5480 020. Person Identifier 180 021. Person Identifier 21 022. Person Identifier 1 023. Person Identifier 353 030. Person Identifier 44 031. Person Identifier 3 032. Person Identifier 1 033. Person Identifier 586 040. Person Identifier 47 041. Person Identifier 4 042. Person Identifier 1 043. Person Identifier
HRS2018Q3,2018 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 15501 0. Original sample household - no split from divorce or separation of spouses or partners 849 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 596 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 68 5. Split household - one half of couple from Q3 1 or 2 9 6. Split household - one half of couple from Q3 1 or 2 122 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2018Q4,2016 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 15713 0. Original sample household - no split from divorce or separation of spouses or partners 726 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 546 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 54 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 99 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2018Q5,2018 SPOUSE/PARTNER PERSON NUMBER ... 4657 010. Person Identifier 504 011. Person Identifier 28 012. Person Identifier 1 013. Person Identifier 4290 020. Person Identifier 141 021. Person Identifier 18 022. Person Identifier 1 023. Person Identifier 193 030. Person Identifier 27 031. Person Identifier 1 032. Person Identifier 1 033. Person Identifier 362 040. Person Identifier 40 041. Person Identifier 2 042. Person Identifier 2 043. Person Identifier 7 810. Spouse of Original R\, Never Entered Sample 45 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 6 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 4 831. Spouse of Non-Original Respondent 1 832. Spouse of Non-Original Respondent 3 841. Spouse of Non-Original Respondent 6808 Blank. Single Respondent Household
HRS2018Q6,2018 WHETHER COVERSHEET RESPONDENT ... 12465 1. Yes 85 3. 2nd Coverscreen R\, answers not retained 4596 5. No
HRS2018Q7,2018 WHETHER FAMILY RESPONDENT ... 12017 1. Family R 41 3. 2nd Family R\, answers not retained 5088 5. Non-Family R
HRS2018Q8,2018 WHETHER FINANCIAL RESPONDENT ... 12181 1. Financial R 38 3. 2nd Financial R\, answers not retained 4927 5. Non-Financial R
HRS2018Q9,Ref: SecJ.Q9_3Wave * ... 17146 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2018Q10,Ref: SecJ.Q10_4Wave * ... 17146 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2018Q21,Ref: SecJ.WORKSTATUS.Q21_ In what month and year did you become disabled? INSTR: Month entered must be before or in [Current Month][Current Year] Month: Year: ... 4 -8. Web non-response 51 1. JAN 32 2. FEB 47 3. MAR 44 4. APR 55 5. MAY 71 6. JUN 29 7. JUL 42 8. AUG 39 9. SEP 44 10. OCT 32 11. NOV 44 12. DEC 107 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 16504 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q22,Ref: SecJ.WORKSTATUS.Q22_ (In what month and year did you become disabled?) INSTR: Month entered must be before or in [Current Month][Current Year] Month: [DISABLED-MO] Year: ... 1 -8. Web non-response 602 1917-2019. Actual Value 38 9998. DK (Don't Know); NA (Not Ascertained) 1 9999. RF (Refused) 16504 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q23,Ref: SecJ.WORKSTATUS.Q23_ In what month and year did you retire? Month: Year: ... 4 -8. Web non-response 93 1. JAN 45 2. FEB 62 3. MAR 74 4. APR 107 5. MAY 140 6. JUN 73 7. JUL 57 8. AUG 58 9. SEP 59 10. OCT 49 11. NOV 94 12. DEC 72 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 16158 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q24,Ref: SecJ.WORKSTATUS.Q24_YrRetired (In what month and year did you retire?) Month: [RETIRED-MO] Year: ... 5 -8. Web non-response 942 1942-2019. Actual Value 41 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 16158 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q25,Ref: SecJ.WORKSTATUS.Q25_WorkforPay Are you doing any work for pay at the present time? INSTR: If the respondent sometimes engages in casual work\, for example\, R works at the polls during election time\, occasionally does odd jobs\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. WEB-ADMINISTERED TEXT: Are you doing any work for pay at the present time? If you sometimes engage in casual work\, for example\, you work at the polls during election time\, occasionally do odd jobs\, or work some weeks out of the year but are not employed at the time of the survey\, we do not consider this working now. ... 10 -8. Web non-response 6720 1. YES 10347 5. NO 4 8. DK (Don't Know); NA (Not Ascertained) 7 9. RF (Refused) 58 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q26,Ref: SecJ.WORKSTATUS.Q26_ Have you worked for pay in the last 12 months? ... 8 -8. Web non-response 949 1. YES 9481 5. NO 3 8. DK (Don't Know); NA (Not Ascertained) 11 9. RF (Refused) 6694 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q27,Ref: SecJ.WORKSTATUS.Q27_ Counting paid vacations as weeks of work\, how many weeks did you work in the last 12 months? INSTR: Count paid sick time as work time INSTR: 'Weeks worked' for this question could be from R's current job or any other job where R worked for pay during the last 12 months INSTR: 0-52 weeks WEB-ADMINISTERED TEXT: Counting paid vacations as weeks of work\, how many weeks did you work in the last 12 months? INSTR: Count paid sick time as work time. INSTR: 'Weeks worked' for this question could be from your current job or any other job where you worked for pay during the last 12 months. INSTR: 0-52 weeks ... ----------------------------------------------------------------- N Min Max Mean SD Miss 7323 0 52 42.30 15.40 9563 ----------------------------------------------------------------- 10 -8. Web non-response 228 98. DK (Don't Know); NA (Not Ascertained) 22 99. RF (Refused)
HRS2018Q28,Ref: SecJ.WORKSTATUS.Q28_NotWrk * ... 7296 1. Not working currently or in past 2 waves 9850 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q29,Ref: SecJ.WORKSTATUS.Q29_EmpSelfOth [On the job you plan to go back to\,/On your current (main) job\,] do you work for someone else\, are you self-employed\, or what? INSTR: If R says\, 'I run my own business' choose 'self-employed' WEB-ADMINISTERED TEXT: [On the job you plan to go back to\,/On your current (main) job\,] do you work for someone else\, are you self-employed\, or what? INSTR: If you run your own business choose 'self-employed'. ... 6 -8. Web non-response 5408 1. SOMEONE ELSE 1296 2. SELF-EMPLOYED 8 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 10428 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q30,Ref: SecJ.WORKSTATUS.Q30_ According to our records\, in [Prev Wave IW Month][Prev Wave IW Year] you were self-employed. Do you have the same business that you had in [Prev Wave IW Month][Prev Wave IW Year] or is it a different business? ... 1000 1. SAME BUSINESS 14 5. DIFFERENT BUSINESS 1 6. [DENY WORKING FOR SELF IN PREVIOUS WAVE/I WAS NOT SELF-EMPLOYED AT THAT TIME] 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 16131 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q31,Ref: SecJ.WORKSTATUS.Q31_ * ... 4933 1. WORK SOMEONE ELSE AND EMPLOYED PREV WAVE 2368 2. NOT WORK SOME ELSE AND EMPLOYED PREV WAVE 791 3. NOT CURRENTLY SELF EMP AND SELF EMP PREV WAVE 9054 4. ALL OTHERS
HRS2018Q32,Ref: SecJ.WORKSTATUS.Q32Q33BP * ... 4933 3. WORKING FOR SOMEONE ELSE THIS WAVE AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 2368 4. (NOT WORKING FOR PAY OR NOT WORKING FOR SOMEONE ELSE) AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 791 5. SELF EMPLOYED LAST WAVE AND NOT SELF EMPLOYED THIS WAVE 9040 6. ALL OTHERS 14 7. WORKING FOR SOMEONE ELSE LAST WAVE\, BUT SOMEONE DIFFERENT THIS WAVE
HRS2018Q33,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q33_MoStopWrkSelf IF SELF EMPLOYED AT DIFFERENT BUSINESS (Q30=5): In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? INSTR: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: Year: WEB-ADMINISTERED TEXT: In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? INSTR: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] INSTR: Options other than month and year can be found at the bottom of the 'month' list. ... 10 -8. Web non-response 86 1. JAN 25 2. FEB 31 3. MAR 28 4. APR 28 5. MAY 58 6. JUN 32 7. JUL 45 8. AUG 27 9. SEP 31 10. OCT 44 11. NOV 74 12. DEC 49 94. STILL WORKING FOR SELF (AS PRIMARY JOB)--GO BACK TO Q29 AND CHANGE RESPONSE TO SELF-EMPLOYED--[IWER-ADMINISTERED ONLY] 44 96. [STILL WORKING FOR SELF AS SECOND JOB/ STILL WORKING FOR [THIS BUSINESS/SELF] AS SECOND JOB] 124 97. [WAS NOT SELF-EMPLOYED AT PREVIOUS INTERVIEW/I WAS NOT SELF-EMPLOYED AT THAT TIME] 55 98. DK (Don't Know); NA (Not Ascertained) 6 99. RF (Refused) 16349 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q34,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q34_YrStopWrkSelf IF SELF EMPLOYED AT DIFFERENT BUSINESS (Q30=5): In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? INSTR: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: Year: WEB-ADMINISTERED TEXT: In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? INSTR: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] INSTR: Options other than month and year can be found at the bottom of the 'month' list. ... 12 -8. Web non-response 548 1995-2019. Actual Value 62 9998. DK (Don't Know); NA (Not Ascertained) 175 9999. RF (Refused) 16349 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q35,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q35Q33TOW158_2BP * ... 681 0. ALL OTHERS 124 1. R DENIES WORKING FOR SELF PREV WAVE 16341 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q36,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q36_ Were there any months since [R's Last IW Month\, Year/Month\, Year 2 Years Ago] when you were not working for pay? ... 20 1. YES 24 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 17102 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q37,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q37Q36TOW158_2BP * ... 20 0. ALL OTHERS 24 1. R DID NOT REPORT ANY MONTHS NOT WORKING FOR PAY AT Q36 17102 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q38,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W776_Year * ... 2 2019. Actual Value 17144 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q39,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W777_ Were there any months in [Eligible Year] [when you were not working for pay]? ... 2 1. YES 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 17144 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q40,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 2 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17144 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q41,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17146 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q42,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W776_Year * ... 20 2018. Actual Value 17126 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q43,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W777_ Were there any months in [Eligible Year] [when you were not working for pay]? ... 19 1. YES 1 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 17126 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q44,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 12 1. JAN 1 2. FEB 3 3. MAR 4. APR 1 5. MAY 1 6. JUN 1 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17127 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q45,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 1. JAN 8 2. FEB 4 3. MAR 3 4. APR 5. MAY 1 6. JUN 1 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17129 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q46,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 1. JAN 2. FEB 7 3. MAR 3 4. APR 3 5. MAY 6. JUN 1 7. JUL 1 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17131 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q47,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 6 4. APR 3 5. MAY 2 6. JUN 7. JUL 1 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17134 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q48,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5 5. MAY 1 6. JUN 3 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17137 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q49,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.J029M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those ([when you were not working for pay])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 5 6. JUN 7. JUL 2 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17139 Blank. INAP (Inapplicable); Partial Interview
